Date,Load,Item,Sugar,Weight,Prev_Weight,Avg_Weight_5min,Avg_Weight_15min,Avg_Weight_30min,SFBMix.plcSFBMix.dbAdditionalParameter.StateFromSheeting.bMachineRunning,CG_Sheeting.CG_Sheeting.dbHMI.Sheeting.SRV_Gap3rdSizing.rActualPosition_inches,Prev_CG_Sheeting.CG_Sheeting.dbHMI.Sheeting.SRV_Gap3rdSizing.rActualPosition_inches,CG_Sheeting.CG_Sheeting.dbHMI.Sheeting.SRV_Gap2ndSizing.rActualPosition_inches,Prev_CG_Sheeting.CG_Sheeting.dbHMI.Sheeting.SRV_Gap2ndSizing.rActualPosition_inches,CG_Sheeting.CG_Sheeting.dbHMI.Sheeting.SRV_Gap1stSizing.rActualPosition_inches,Prev_CG_Sheeting.CG_Sheeting.dbHMI.Sheeting.SRV_Gap1stSizing.rActualPosition_inches,CG_Sheeting.CG_Sheeting.dbHMI.Sheeting.SRV_GapFinalSizing.rActualPosition_inches,Prev_CG_Sheeting.CG_Sheeting.dbHMI.Sheeting.SRV_GapFinalSizing.rActualPosition_inches,CG_Sheeting.CG_Sheeting.dbHMI.Scoring.SRV_CrossScore.rSetpoint_Ratio,Prev_CG_Sheeting.CG_Sheeting.dbHMI.Scoring.SRV_CrossScore.rSetpoint_Ratio,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rChillerSetpoint,Prev_CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rChillerSetpoint,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,Prev_CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum2InletTemp,Prev_CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum2InletTemp,CG_Sheeting.CG_Sheeting.Variables.rGumExtruderExitGumTemp,Prev_CG_Sheeting.CG_Sheeting.Variables.rGumExtruderExitGumTemp
2024-07-06 05:51:37,3,DMRR（真叶玫瑰薄荷）,Sugar,34.27,35.98,34.864999999999995,35.025,34.97272727272727,0.0,0.055,0.055,0.037,0.037,0.055,0.063,,,108.2,108.2,-12.5,-12.5,-19.7,-19.7,-15.7,-15.7,-10.2,-10.2
2024-07-06 05:56:34,4,DMRR（真叶玫瑰薄荷）,Sugar,35.41,34.27,34.27,34.74666666666666,34.93090909090909,0.0,0.07,0.055,0.037,0.037,0.055,0.055,,,108.2,108.2,-12.5,-12.5,-19.7,-19.7,-15.7,-15.7,-10.2,-10.2
2024-07-06 06:01:23,5,DMRR（真叶玫瑰薄荷）,Sugar,34.68,35.41,35.41,34.85666666666666,35.045,0.0,0.07,0.07,0.037,0.037,0.055,0.055,,,105.2,108.2,-12.5,-12.5,-19.7,-19.7,-15.7,-15.7,-14.2,-10.2
2024-07-06 06:02:38,6,DMRR（真叶玫瑰薄荷）,Sugar,34.63,34.68,34.68,34.79,35.006,0.0,0.07,0.07,0.037,0.037,0.055,0.055,,,105.2,105.2,-12.5,-12.5,-19.7,-19.7,-15.7,-15.7,-14.2,-14.2
2024-07-06 06:06:26,7,DMRR（真叶玫瑰薄荷）,Sugar,34.43,34.63,34.63,34.7475,34.914,0.0,0.07,0.07,0.037,0.037,0.041,0.055,,,105.2,105.2,-12.5,-12.5,-19.6,-19.7,-14.8,-15.7,-14.2,-14.2
2024-07-06 06:09:20,8,DMRR（真叶玫瑰薄荷）,Sugar,34.38,34.43,34.43,34.7875,34.87,0.0,0.07,0.07,0.031,0.037,0.041,0.041,,,105.2,105.2,-15.1,-12.5,-17.8,-19.6,-14.8,-14.8,-14.8,-14.2
2024-07-06 06:10:55,9,DMRR（真叶玫瑰薄荷）,Sugar,34.96,34.38,34.405,34.706,34.72818181818182,0.0,0.07,0.07,0.031,0.031,0.041,0.041,,,105.2,105.2,-15.1,-15.1,-17.8,-17.8,-14.8,-14.8,-14.8,-14.8
2024-07-06 06:11:36,10,DMRR（真叶玫瑰薄荷）,Sugar,35.29,34.96,34.67,34.616,34.747499999999995,0.0,0.07,0.07,0.031,0.031,0.041,0.041,,,105.2,105.2,-15.1,-15.1,-17.8,-17.8,-14.8,-14.8,-14.8,-14.8
2024-07-06 06:14:23,11,DMRR（真叶玫瑰薄荷）,Sugar,34.64,35.29,35.125,34.72833333333333,34.7925,0.0,0.07,0.07,0.055,0.031,0.041,0.041,,,105.2,105.2,-15.1,-15.1,-17.8,-17.8,-14.8,-14.8,-12.9,-14.8
2024-07-06 06:14:58,12,DMRR（真叶玫瑰薄荷）,Sugar,35.25,34.64,34.96333333333333,34.715714285714284,34.78076923076923,0.0,0.07,0.07,0.055,0.055,0.041,0.041,,,105.2,105.2,-15.1,-15.1,-17.8,-17.8,-14.8,-14.8,-12.9,-12.9
2024-07-06 06:19:37,1,DMPE 绿箭原味薄荷,Sugar,34.66,35.25,35.25,34.824999999999996,34.90181818181818,1.0,0.07,0.07,0.055,0.055,0.041,0.041,,,118.7,105.2,-15.1,-15.1,-17.8,-17.8,-14.8,-14.8,-12.9,-12.9
