SKU,SKU_CN,Item_code
EXSM,EXSM（益达沁凉薄荷-NCS）,557720
DMPE,DMPE 绿箭原味薄荷,557729
EBB,EBB（益达蓝莓-NCS）,557738
EXTP,EXTP（益达热带水果-NCS）,557747
EXCW,EXCW（益达西瓜-NCS）,557757
DMPY,DMPY（绿箭金装薄荷）,557766
DMRC,DMRC（绿箭樱花薄荷）,558113
DMRJ,DMRJ（茉莉薄荷）,558122
FVWM,FVWM（FIVE奔涌西瓜-NCS）,558131
FVBB,FVBB（FIVE魅幻蓝莓-NCS）,558140
FVPP,FVPP（FIVE激酷薄荷味-NCS）,558149
FVSS,FVSS（FIVE酷酸草莓味-NCS）,558158
DMLM,DMLM（绿箭青柠薄荷）,561565
WSP,WSP（白箭留兰香薄荷）,561574
DMLG,DMLG（柠檬草薄荷）,561583
DMRR,DMRR（真叶玫瑰薄荷）,561897
DMRM,DMRM（真叶薄荷）,561906
EXPP,EXPP（益达冰凉薄荷味）,565359
RPCM,RPCM（维能酷爽薄荷）,574447
RPSY,RPSY（维能劲爆麻辣）,574448
RPWP,RPWP（维能西瓜红石榴）,574449
AUWM,AUWM（澳洲FIVE奔涌西瓜味）,580207
